Country,Event-Type,GLRT,W-GLRT,BOCPD,RuLSIF,HQCD,HQCD_EADD
Uruguay,Employment and Wages,2013-12-06,2013-12-08,2013-12-13,2013-12-03,2013-12-10,3
Uruguay,Housing,2013-12-21,2013-12-06,2013-11-30,2013-01-01,2013-11-28,2
Uruguay,Energy and Resources,2013-12-04,2013-12-05,2013-12-10,2013-01-01,2013-12-09,4
Uruguay,Other Economic,2013-12-20,2013-12-06,2013-01-01,2013-01-01,2013-11-26,2
Uruguay,Other Government,2013-11-25,2013-12-05,2013-12-16,2013-11-29,2013-12-15,3
Uruguay,Other,2013-12-05,2013-12-09,2013-12-03,2013-01-01,2013-01-14,10
Uruguay,All,2013-12-05,2013-12-09,2013-12-03,2013-11-29,2013-12-10,3
