Country,Event-Type,GLRT,W-GLRT,BOCPD,RuLSIF,HQCD,HQCD_EADD
Brazil,Employment,2013-02-10,2013-03-17,2013-06-16,2013-05-26,2013-08-18,4
Brazil,Housing,2013-03-24,2013-03-31,2013-07-28,2013-05-19,2013-06-16,8
Brazil,Energy and Resources,2013-02-10,2013-03-17,2013-06-09,2013-05-19,2013-06-02,6
Brazil,Other Economic,2013-03-24,2013-03-24,2013-06-23,2013-05-19,2013-06-30,5
Brazil,Other Government,2013-02-17,2013-06-23,2013-04-07,2013-05-19,2013-06-16,4
Brazil,Other,2013-03-03,2013-03-17,2013-06-30,2013-05-19,2013-06-23,6
Brazil,All,2013-02-17,2013-04-28,2013-05-19,2013-06-16,2013-06-16,8
